months,emisiontotalpm10producidasporindustrias
2022.0,179.7
2022.083,179.742547584
2022.167,179.783612926
2022.25,179.823292549
2022.333,179.861676072
2022.417,179.898846711
2022.5,179.93488173
2022.583,179.969852868
2022.667,180.003826733
2022.75,180.036865167
2022.833,180.069025588
2022.917,180.100361304
2023.0,180.130921806
2023.083,180.160753041
2023.167,180.189897668
2023.25,180.218395285
2023.333,180.246282655
2023.417,180.273593904
2023.5,180.30036071
2023.583,180.32661248
2023.667,180.352376507
2023.75,180.377678127
2023.833,180.402540852
2023.917,180.426986506
2024.0,180.451035342
2024.083,180.474706156
2024.167,180.498016388
2024.25,180.520982224
2024.333,180.543618678
2024.417,180.565939683
2024.5,180.587958164
2024.583,180.609686111
2024.667,180.631134644
2024.75,180.652314079
2024.833,180.673233981
2024.917,180.693903221
2025.0,180.714330022
2025.083,180.734522009
2025.167,180.754486248
2025.25,180.774229291
2025.333,180.793757205
2025.417,180.813075615
2025.5,180.832189729
2025.583,180.851104371
2025.667,180.869824008
2025.75,180.888352773
2025.833,180.906694494
2025.917,180.92485271
2026.0,180.942830697
2026.083,180.96063148
2026.167,180.978257858
2026.25,180.995712416
2026.333,181.012997541
2026.417,181.030115438
2026.5,181.047068138
2026.583,181.063857516
2026.667,181.080485299
2026.75,181.096953079
2026.833,181.113262318
2026.917,181.129414363
2027.0,181.14541045
2027.083,181.161251713
2027.167,181.176939192
2027.25,181.19247384
2027.333,181.207856527
2027.417,181.223088049
2027.5,181.23816913
2027.583,181.253100429
2027.667,181.267882546
2027.75,181.282516022
2027.833,181.297001348
2027.917,181.311338965
2028.0,181.325529269
2028.083,181.339572614
2028.167,181.353469316
2028.25,181.367219652
2028.333,181.380823869
2028.417,181.394282179
2028.5,181.407594769
2028.583,181.420761795
2028.667,181.433783391
2028.75,181.446659665
2028.833,181.459390705
2028.917,181.471976578
2029.0,181.484417334
2029.083,181.496713004
2029.167,181.508863601
2029.25,181.520869128
2029.333,181.532729568
2029.417,181.544444897
2029.5,181.556015073
2029.583,181.567440047
2029.667,181.578719758
2029.75,181.589854134
2029.833,181.600843097
2029.917,181.611686558
2030.0,181.622384421
2030.083,181.632936583
2030.167,181.643342932
2030.25,181.653603353
2030.333,181.663717723
2030.417,181.673685914
2030.5,181.683507793
2030.583,181.693183222
2030.667,181.702712058
2030.75,181.712094154
2030.833,181.72132936
2030.917,181.730417523
2031.0,181.739358484
2031.083,181.748152082
2031.167,181.756798154
2031.25,181.765296534
2031.333,181.773647051
2031.417,181.781849536
2031.5,181.789903813
2031.583,181.797809708
2031.667,181.805567041
2031.75,181.813175634
2031.833,181.820635305
2031.917,181.82794587
2032.0,181.835107145
2032.083,181.842118943
2032.167,181.848981077
2032.25,181.855693358
2032.333,181.862255596
2032.417,181.868667598
2032.5,181.874929174
2032.583,181.881040129
2032.667,181.887000269
2032.75,181.892809399
2032.833,181.898467322
2032.917,181.903973841
2033.0,181.909328758
2033.083,181.914531875
2033.167,181.919582991
2033.25,181.924481908
2033.333,181.929228423
2033.417,181.933822336
2033.5,181.938263444
2033.583,181.942551546
2033.667,181.946686436
2033.75,181.950667913
2033.833,181.95449577
2033.917,181.958169804
2034.0,181.96168981
2034.083,181.96505558
2034.167,181.96826691
2034.25,181.971323592
2034.333,181.974225418
2034.417,181.976972183
2034.5,181.979563676
2034.583,181.98199969
2034.667,181.984280017
2034.75,181.986404445
2034.833,181.988372767
2034.917,181.990184772
2035.0,181.991840249
2035.083,181.993338988
2035.167,181.994680777
2035.25,181.995865405
2035.333,181.99689266
2035.417,181.99776233
2035.5,181.998474203
2035.583,181.999028065
2035.667,181.999423703
2035.75,181.999660903
2035.833,181.999739452
2035.917,181.999659136
2036.0,181.999419739
2036.083,181.999021047
2036.167,181.998462844
2036.25,181.997744916
2036.333,181.996867046
2036.417,181.995829018
2036.5,181.994630615
2036.583,181.993271621
2036.667,181.991751819
2036.75,181.99007099
2036.833,181.988228918
2036.917,181.986225384
2037.0,181.98406017
2037.083,181.981733058
2037.167,181.979243827
2037.25,181.976592259
2037.333,181.973778135
2037.417,181.970801234
2037.5,181.967661336
2037.583,181.96435822
2037.667,181.960891666
2037.75,181.957261453
2037.833,181.953467358
2037.917,181.949509161
2038.0,181.945386639
2038.083,181.94109957
2038.167,181.936647731
2038.25,181.9320309
2038.333,181.927248852
2038.417,181.922301364
2038.5,181.917188212
2038.583,181.911909173
2038.667,181.906464021
2038.75,181.900852532
2038.833,181.89507448
2038.917,181.889129641
2039.0,181.883017788
2039.083,181.876738695
2039.167,181.870292136
2039.25,181.863677884
2039.333,181.856895712
2039.417,181.849945393
2039.5,181.8428267
2039.583,181.835539404
2039.667,181.828083277
2039.75,181.82045809
2039.833,181.812663616
2039.917,181.804699624
2040.0,181.796565885
2040.083,181.788262169
2040.167,181.779788246
2040.25,181.771143887
2040.333,181.762328859
2040.417,181.753342932
2040.5,181.744185875
2040.583,181.734857456
2040.667,181.725357443
2040.75,181.715685604
2040.833,181.705841706
2040.917,181.695825516
2041.0,181.685636801
2041.083,181.675275327
2041.167,181.664740861
2041.25,181.654033168
2041.333,181.643152014
2041.417,181.632097164
2041.5,181.620868383
2041.583,181.609465435
2041.667,181.597888085
2041.75,181.586136096
2041.833,181.574209232
2041.917,181.562107257
2042.0,181.549829933
